Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
01-Feb-05,9.91,10.11,9.8,9.8,9.957101449,3450,32,34352,2100,60.87,0.31,-0.11,0,9.91,0,10.11,0,9.8,0,9.8,0
02-Feb-05,9.3,10,9.3,9.67,9.845919779,3615,14,35593,3515,97.23,0.7,0.37,-0.061553986,9.605,-0.010880317,10.055,-0.051020408,9.55,-0.013265306,9.735,0
03-Feb-05,10.4,10.6,9.8,10,10.04,6100,33,61244,5788,94.89,0.8,-0.4,0.11827957,9.87,0.06,10.23666667,0.053763441,9.633333333,0.034126163,9.823333333,0
04-Feb-05,10,10.5,10,10.45,10.38834437,3775,39,39216,3775,100,0.5,0.45,-0.038461538,9.9025,-0.009433962,10.3025,0.020408163,9.725,0.045,9.98,0
07-Feb-05,10.21,10.6,10.21,10.4,10.53276956,946,8,9964,873,92.28,0.39,0.19,0.021,9.964,0.00952381,10.362,0.021,9.822,-0.004784689,10.064,0
08-Feb-05,9.85,10.8,9.85,10.8,10.38101695,1475,18,15312,1300,88.14,0.95,0.95,-0.035259549,9.945,0.018867925,10.435,-0.035259549,9.826666667,0.038461538,10.18666667,0
09-Feb-05,10.06,10.8,10.05,10.41,10.37741176,6375,58,66156,5650,88.63,0.75,0.35,0.021319797,9.961428571,0,10.48714286,0.020304569,9.858571429,-0.036111111,10.21857143,0
10-Feb-05,10.2,10.8,10.2,10.61,10.54648649,3700,41,39022,3425,92.57,0.6,0.41,0.013916501,9.99125,0,10.52625,0.014925373,9.90125,0.019212296,10.2675,0
11-Feb-05,10.25,11.67,10.25,11.47,11.34327315,8585,76,97382,7785,90.68,1.42,1.22,0.004901961,10.02,0.080555556,10.65333333,0.004901961,9.94,0.081055608,10.40111111,0
14-Feb-05,11.55,12.61,11.55,12.61,12.42528254,14334,76,178104,12359,86.22,1.06,1.06,0.126829268,10.173,0.080548415,10.849,0.126829268,10.101,0.099389712,10.622,0
15-Feb-05,13.87,13.87,11.76,13.87,13.60757413,13995,56,190438,13545,96.78,2.11,0,0.200865801,10.50909091,0.099920698,11.12363636,0.018181818,10.25181818,0.099920698,10.91727273,0
16-Feb-05,15.25,15.25,15.05,15.25,15.23802691,48087,82,732751,38087,79.2,0.2,0,0.099495314,10.90416667,0.099495314,11.4675,0.279761905,10.65166667,0.099495314,11.27833333,0
17-Feb-05,16.7,16.7,14,15.48,15.67142834,61603,373,965407,53611,87.03,2.7,-1.22,0.095081967,11.35,0.095081967,11.87,-0.069767442,10.90923077,0.015081967,11.60153846,0
18-Feb-05,16.4,17.02,15.7,17.02,16.74039864,61710,240,1033050,51505,83.46,1.32,0.62,-0.017964072,11.71071429,0.019161677,12.23785714,0.121428571,11.25142857,0.099483204,11.98857143,0
21-Feb-05,18.7,18.72,18,18.72,18.69231259,31389,68,586733,25289,80.57,0.72,0.02,0.140243902,12.17666667,0.099882491,12.67,0.146496815,11.70133333,0.099882491,12.43733333,0
22-Feb-05,20.59,20.59,19.55,20.59,20.31592905,56940,267,1156789,44070,77.4,1.04,0,0.101069519,12.7025,0.099893162,13.165,0.086111111,12.191875,0.099893162,12.946875,0
23-Feb-05,22.64,22.64,21,22.64,22.49035223,41564,50,934789,41564,100,1.64,0,0.099562895,13.28705882,0.099562895,13.72235294,0.074168798,12.71,0.099562895,13.51705882,0
24-Feb-05,23.77,23.77,21.51,22.12,23.13885406,144353,639,3340163,95291,66.01,2.26,-1.65,0.049911661,13.86944444,0.049911661,14.28055556,0.024285714,13.19888889,-0.022968198,13.995,0
25-Feb-05,22.25,23,21.02,21.02,21.94901313,64801,341,1422318,57477,88.7,1.98,-1.23,-0.063946151,14.31052632,-0.032393774,14.73947368,-0.022780102,13.61052632,-0.049728752,14.36473684,0
28-Feb-05,20,20,19.97,19.97,19.98686306,5024,13,100414,5024,100,0.03,-0.03,-0.101123596,14.595,-0.130434783,15.0025,-0.049952426,13.9285,-0.049952426,14.645,0
01-Mar-05,18.98,18.98,18.98,18.98,18.98,3200,10,60736,3200,100,0,0,-0.051,14.80380952,-0.051,15.19190476,-0.049574362,14.16904762,-0.049574362,14.85142857,0
02-Mar-05,18.04,18.04,18.04,18.04,18.0399449,1452,8,26194,1452,100,0,0,-0.049525817,14.95090909,-0.049525817,15.32136364,-0.049525817,14.345,-0.049525817,14.99636364,0
03-Mar-05,17.14,18.94,17.14,18.94,18.47469266,29853,137,551525,25096,84.07,1.8,1.8,-0.049889135,15.04608696,0.049889135,15.47869565,-0.049889135,14.46652174,0.049889135,15.16782609,0
04-Mar-05,19,19.5,18,18.01,18.40750901,24424,140,449585,22974,94.06,1.5,-0.99,0.108518086,15.21083333,0.029567054,15.64625,0.050175029,14.61375,-0.049102429,15.28625,0
07-Mar-05,18.91,18.91,17.11,17.11,17.24625103,19472,96,335819,16121,82.79,1.8,-1.8,-0.004736842,15.3588,-0.03025641,15.7768,-0.049444444,14.7136,-0.049972238,15.3592,0
08-Mar-05,16.36,17.5,16.36,16.61,16.73059253,8489,52,142026,7457,87.84,1.14,0.25,-0.134849286,15.39730769,-0.074563723,15.84307692,-0.043834015,14.77692308,-0.029222677,15.40730769,0
09-Mar-05,16.75,16.95,15.78,15.81,15.99718586,15280,60,244437,13380,87.57,1.17,-0.94,0.023838631,15.44740741,-0.031428571,15.88407407,-0.035452323,14.81407407,-0.048163757,15.42222222,0
10-Mar-05,15.4,16.6,15.3,16.6,16.13416114,10711,73,172813,7461,69.66,1.3,1.2,-0.080597015,15.44571429,-0.020648968,15.90964286,-0.030418251,14.83142857,0.049968374,15.46428571,0
11-Mar-05,17.25,17.43,17.25,17.43,17.40104507,9186,31,159846,8686,94.56,0.18,0.18,0.12012987,15.50793103,0.05,15.96206897,0.12745098,14.91482759,0.05,15.53206897,0
14-Mar-05,18.3,18.3,17.65,18.3,18.24997838,23130,97,422122,21325,92.2,0.65,0,0.060869565,15.601,0.049913941,16.04,0.023188406,15.006,0.049913941,15.62433333,0
15-Mar-05,19.2,19.21,19.2,19.21,19.2065,8000,27,153652,8000,100,0.01,0.01,0.049180328,15.71709677,0.049726776,16.14225806,0.087818697,15.14129032,0.049726776,15.74,0
16-Mar-05,20.17,20.17,19.65,20.13,20.11734835,28948,112,582357,27696,95.68,0.52,-0.04,0.050520833,15.85625,0.049973972,16.268125,0.0234375,15.2821875,0.047891723,15.8771875,0
17-Mar-05,20.9,21.13,19.13,19.13,20.20847722,14769,67,298459,12800,86.67,2,-1.77,0.036192365,16.00909091,0.047595439,16.41545455,-0.026463104,15.39878788,-0.049677099,15.97575758,0
18-Mar-05,18.19,19.8,18.18,19.16,18.84522417,30780,98,580056,24546,79.75,1.62,0.97,-0.129665072,16.07323529,-0.062943682,16.515,-0.04966022,15.48058824,0.001568217,16.06941176,0
21-Mar-05,18.55,20.11,18.55,19.95,19.98868044,22174,87,443229,16936,76.38,1.56,1.4,0.019791094,16.144,0.015656566,16.61771429,0.020352035,15.56828571,0.041231733,16.18028571,0
22-Mar-05,20.8,20.8,19.1,19.1,19.57928297,23681,56,463657,20443,86.33,1.7,-1.7,0.121293801,16.27333333,0.034311288,16.73388889,0.029649596,15.66638889,-0.042606516,16.26138889,0
23-Mar-05,19.5,19.5,18.35,18.47,18.53084776,9012,23,167000,8512,94.45,1.15,-1.03,-0.0625,16.36054054,-0.0625,16.80864865,-0.039267016,15.73891892,-0.032984293,16.32108108,0
24-Mar-05,18.45,18.7,17.55,17.72,17.92609865,5575,30,99938,5225,93.72,1.15,-0.73,-0.053846154,16.41552632,-0.041025641,16.85842105,-0.04359673,15.78657895,-0.040606389,16.35789474,0
28-Mar-05,18.25,18.6,18.25,18.6,18.5456152,4527,13,83956,4527,100,0.35,0.35,-0.010840108,16.4625641,-0.005347594,16.90307692,0.03988604,15.84974359,0.0496614,16.41538462,0
29-Mar-05,18.95,19.4,17.68,17.72,18.22628019,15525,45,282963,14770,95.14,1.72,-1.23,0.038356164,16.52475,0.043010753,16.9655,-0.031232877,15.8955,-0.047311828,16.448,0
30-Mar-05,17.3,18.3,17.3,18.3,17.96666667,150,2,2695,150,100,1,1,-0.08707124,16.54365854,-0.056701031,16.99804878,-0.021493213,15.9297561,0.032731377,16.49317073,0
31-Mar-05,18.15,19.21,18.15,19,19.15084525,6152,30,117816,6150,99.97,1.06,0.85,0.049132948,16.58190476,0.049726776,17.05071429,0.049132948,15.98261905,0.038251366,16.55285714,0
01-Apr-05,19.5,19.8,18.5,19.68,19.4185567,2425,12,47090,2325,95.88,1.3,0.18,0.074380165,16.64976744,0.03071317,17.11465116,0.019283747,16.04116279,0.035789474,16.6255814,0
04-Jul-05,17.5,19.3,17.5,19.3,19.18960245,6213,24,119225,6113,98.39,1.8,1.8,0,17.5,0,19.3,0,17.5,0,19.3,1
05-Jul-05,20,21.2,20,21.2,21.13073593,5775,19,122030,5775,100,1.2,1.2,0.142857143,18.75,0.098445596,20.25,0.142857143,18.75,0.098445596,20.25,1
06-Jul-05,23.3,23.3,23.3,23.3,23.299946,3704,25,86303,3704,100,0,0,0.165,20.26666667,0.099056604,21.26666667,0.165,20.26666667,0.099056604,21.26666667,1
07-Jul-05,25.6,25.6,25.6,25.6,25.6,20275,69,519040,20275,100,0,0,0.098712446,21.6,0.098712446,22.35,0.098712446,21.6,0.098712446,22.35,1
08-Jul-05,28.15,28.15,28.15,28.15,28.14996111,19285,41,542872,19285,100,0,0,0.099609375,22.91,0.099609375,23.51,0.099609375,22.91,0.099609375,23.51,1
11-Jul-05,30.95,30.95,28.05,28.25,29.73015284,121302,387,3606327,92702,76.42,2.9,-2.7,0.09946714,24.25,0.09946714,24.75,-0.003552398,23.76666667,0.003552398,24.3,1
